target,group,arm,scorer,EF1%,EF10%,ROC_AUC,BEDROC20,n,n_actives
TP53,A_single,A_single_pose,DiffDock_conf,1.5384615384615383,1.0769230769230769,0.549241938486359,0.063922105339398,3784,65
TP53,A_single,A_single_pose,GNINA_CNNaff,1.5384615384615383,0.7692307692307693,0.5274412062796038,0.0591372939374851,3784,65
TP53,A_single,A_single_pose,NMDN,0.0,1.2307692307692308,0.6155169917471612,0.0831217664996554,3784,65
TP53,NMDN_multi,NMDN_max_over20,NMDN,0.0,1.6923076923076923,0.6381119821291911,0.0798636330909612,3784,65
TP53,NMDN_multi,NMDN_mean_top3,NMDN,0.0,1.5384615384615383,0.6357664384553333,0.0737026345938282,3784,65
TP53,NMDN_multi,pKd_at_bestNMDN,NMDN,0.0,1.8461538461538465,0.5642004674540302,0.0938790429645444,3784,65
TP53,GNINA_multi,B_max_over20,GNINA_CNNaff,1.5384615384615383,0.4615384615384615,0.5316534517829715,0.0461442423078356,3771,65
TP53,GNINA_multi,C_mean_top3,GNINA_CNNaff,1.5384615384615383,0.6153846153846154,0.5292374112665532,0.0475687581814019,3771,65
ESR1_ant,A_single,A_single_pose,DiffDock_conf,1.1111111111111112,1.0,0.4533210013565174,0.0614789275593365,4595,90
ESR1_ant,A_single,A_single_pose,GNINA_CNNaff,2.2222222222222223,2.0,0.7075447034159575,0.1422479515758193,4595,90
ESR1_ant,A_single,A_single_pose,NMDN,2.2222222222222223,1.4444444444444442,0.5322456529781724,0.0832801318810071,4595,90
ESR1_ant,NMDN_multi,NMDN_max_over20,NMDN,2.2222222222222223,1.7777777777777777,0.6199408065112837,0.1034784242746117,4595,90
ESR1_ant,NMDN_multi,NMDN_mean_top3,NMDN,2.2222222222222223,2.0,0.5899173757553335,0.1128484440043788,4595,90
ESR1_ant,NMDN_multi,pKd_at_bestNMDN,NMDN,1.1111111111111112,2.444444444444444,0.6344604760143051,0.1382444860446755,4595,90
ESR1_ant,GNINA_multi,B_max_over20,GNINA_CNNaff,3.333333333333333,2.7777777777777777,0.7329978290901914,0.169779186693985,4594,90
ESR1_ant,GNINA_multi,C_mean_top3,GNINA_CNNaff,4.444444444444445,2.7777777777777777,0.7339476021314387,0.173756123793912,4594,90
PPARG,A_single,A_single_pose,DiffDock_conf,0.0,0.8333333333333333,0.4962188465838101,0.0453303632550773,5093,24
PPARG,A_single,A_single_pose,GNINA_CNNaff,0.0,3.75,0.7645738804497928,0.1421914855362661,5093,24
PPARG,A_single,A_single_pose,NMDN,20.83333333333333,3.75,0.6773689748142303,0.3226304351817213,5093,24
PPARG,NMDN_multi,NMDN_max_over20,NMDN,20.83333333333333,4.583333333333333,0.8242667850332084,0.3266651531128049,5093,24
PPARG,NMDN_multi,NMDN_mean_top3,NMDN,20.83333333333333,4.166666666666667,0.8304152692838824,0.3313664587329263,5093,24
PPARG,NMDN_multi,pKd_at_bestNMDN,NMDN,0.0,1.6666666666666663,0.6959048464522917,0.054129081256472,5093,24
PPARG,GNINA_multi,B_max_over20,GNINA_CNNaff,0.0,2.9166666666666665,0.7643113437355982,0.1221434144726135,5087,24
PPARG,GNINA_multi,C_mean_top3,GNINA_CNNaff,0.0,2.9166666666666665,0.7719402198959774,0.1314449106604909,5087,24
